date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:30:36	108671/108671	---M-Z	200	added ('OK')	text/html	etag:%221a87f-5cf53dcdecd4a-gzip%22	https://themesbrand.com/skote-django/layouts/layouts-preloader.html	E:/skote/themesbrand.com/skote-django/layouts/layouts-preloader.html	(from https://themesbrand.com/skote-django/layouts/index.html)
08:30:37	108187/108187	---M-Z	200	added ('OK')	text/html	etag:%221a69b-5cf53dcde8ec9-gzip%22	https://themesbrand.com/skote-django/layouts/layouts-colored-sidebar.html	E:/skote/themesbrand.com/skote-django/layouts/layouts-colored-sidebar.html	(from https://themesbrand.com/skote-django/layouts/index.html)
08:30:37	108247/108247	---M-Z	200	added ('OK')	text/html	etag:%221a6d7-5cf53dcdecd4a-gzip%22	https://themesbrand.com/skote-django/layouts/layouts-scrollable.html	E:/skote/themesbrand.com/skote-django/layouts/layouts-scrollable.html	(from https://themesbrand.com/skote-django/layouts/index.html)
08:30:37	117802/117802	---M-Z	200	added ('OK')	text/html	etag:%221cc2a-5cf53dcdecd4a-gzip%22	https://themesbrand.com/skote-django/layouts/layouts-horizontal.html	E:/skote/themesbrand.com/skote-django/layouts/layouts-horizontal.html	(from https://themesbrand.com/skote-django/layouts/index.html)
08:30:37	115418/115418	---M-Z	200	added ('OK')	text/html	etag:%221c2da-5cf53dcdebdaa-gzip%22	https://themesbrand.com/skote-django/layouts/layouts-hori-topbar-light.html	E:/skote/themesbrand.com/skote-django/layouts/layouts-hori-topbar-light.html	(from https://themesbrand.com/skote-django/layouts/index.html)
08:30:38	115439/115439	---M-Z	200	added ('OK')	text/html	etag:%221c2ef-5cf53dcde9e69-gzip%22	https://themesbrand.com/skote-django/layouts/layouts-hori-boxed-width.html	E:/skote/themesbrand.com/skote-django/layouts/layouts-hori-boxed-width.html	(from https://themesbrand.com/skote-django/layouts/index.html)
08:30:38	115914/115914	---M-Z	200	added ('OK')	text/html	etag:%221c4ca-5cf53dcdeae0a-gzip%22	https://themesbrand.com/skote-django/layouts/layouts-hori-preloader.html	E:/skote/themesbrand.com/skote-django/layouts/layouts-hori-preloader.html	(from https://themesbrand.com/skote-django/layouts/index.html)
08:30:38	115426/115426	---M-Z	200	added ('OK')	text/html	etag:%221c2e2-5cf53dcde9e69-gzip%22	https://themesbrand.com/skote-django/layouts/layouts-hori-colored-header.html	E:/skote/themesbrand.com/skote-django/layouts/layouts-hori-colored-header.html	(from https://themesbrand.com/skote-django/layouts/index.html)
08:30:38	115462/115462	---M-Z	200	added ('OK')	text/html	etag:%221c306-5cf53dcdeae0a-gzip%22	https://themesbrand.com/skote-django/layouts/layouts-hori-scrollable.html	E:/skote/themesbrand.com/skote-django/layouts/layouts-hori-scrollable.html	(from https://themesbrand.com/skote-django/layouts/index.html)
08:30:38	71608/71608	---M-Z	200	added ('OK')	text/html	etag:%22117b8-5cf53dcde2167-gzip%22	https://themesbrand.com/skote-django/layouts/calendar.html	E:/skote/themesbrand.com/skote-django/layouts/calendar.html	(from https://themesbrand.com/skote-django/layouts/index.html)
